ktp_filename,true_label
78d26390-6e2a-4bec-95d1-d3efc7d4302b_1.jpg,5
a6c278e3-b10a-49c0-a0ed-68afeba87032_15.jpg,5
f0693c55-27e1-4bbb-80ba-69e4281e2185_1.jpg,0
fe14e926-d3a1-4c09-898f-42c192bf6880_3.jpg,6
553b3fee-c37f-49ed-806b-2e8561b82807_0.jpg,3
d5e84ce6-f730-4063-9318-ee99f7712ce0_4.jpg,0
c11269f7-b45e-4b9f-a666-46f23b3bee4e_2.jpg,7
192e5edf-51b9-4d18-a976-3c9b2872b464_10.jpg,0
7dae4454-cb55-4ebe-867a-62cc839a52ea_11.jpg,2
04c17ab6-9133-4e59-910c-9bc46853f32a_4.jpg,0
a870478f-24cc-4367-845b-d4fb3367989e_4.jpg,0
a277a4f9-cf7c-4011-9ca1-2455c3dc0b3d_11.jpg,0
850d95d0-7c8b-4805-8143-ecd9977cb56b_16.jpg,0
77909cfe-7a2d-4758-96a3-61306d4908ba_12.jpg,0
4ced6515-b471-459d-9c5e-31860c7495a1_7.jpg,4
a2b83d61-8e98-4c6c-ac72-f3d632e2895e_6.jpg,7
913ee38e-35a6-47a6-9ae0-9a3a6127cebc_13.jpg,0
aaa483b4-4ed7-4946-a6ea-0302aa67affe_1.jpg,2
52c072ee-7aca-4f1f-8d7f-ffe0749fc454_1.jpg,7
0020deed-5395-4676-954c-38e3110e8525_2.jpg,0
04df04f2-6b2b-46dd-a598-6c53d634f1a0_7.jpg,9
b0448b5d-f73f-4bf8-a532-5ba0ca670a11_14.jpg,0
51017859-1fcc-4b46-8aa7-2faf7e5b0b75_13.jpg,0
d28abdb6-a52e-492a-926d-0a3ef2345721_0.jpg,0
43f2fec6-7bb6-4f3a-81a9-5c9ff1d18ea0_10.jpg,6
d29108e9-9486-4909-96f1-aae41d8ec626_2.jpg,7
0412b511-a164-4f7d-aaa3-a59e25194938_9.jpg,7
04f8c9f1-6a74-4cf0-907b-a334e1277e9b_3.jpg,4
26478266-8930-4306-b826-1aa481c149a4_15.jpg,1
0d2498b5-1d8b-4255-a5d0-2ca7c8a6fe0f_5.jpg,9
20f8cc33-25bf-485f-a633-1e81dae938a4_0.jpg,3
338a11f0-3cd1-49c2-be6e-7d0d5f7f692c_2.jpg,0
ce70a67d-0a1e-4ab3-ba4a-284581f9534e_4.jpg,0
43d2e19d-be3d-484d-bf19-7ccd89a995ff_2.jpg,0
45581769-e2f4-4557-b8c6-9f73cb67a370_0.jpg,3
316418af-9d5b-45f1-b211-3e2a9298a2cc_14.jpg,0
7165b221-626e-4101-8129-4304fabbb7e8_5.jpg,7
59662aff-5ab0-4c2a-9b0b-ade56b667958_2.jpg,0
79e77650-90c5-4323-9c0a-35d6a77f8270_7.jpg,5
32de4226-23f6-4c5c-94f4-53248219529b_13.jpg,0
bc827d92-82c4-41a5-a4ea-d1d864e1dbd7_12.jpg,1
7dae4454-cb55-4ebe-867a-62cc839a52ea_15.jpg,0
d7d49524-cc22-495a-aa09-1df6d17a51bb_4.jpg,0
fe2715c9-1aee-46f7-a884-6f32b5c8f6eb_9.jpg,6
