KTP Filename,PIC,Prediction (Model V2.0),True Label
5842d07e-418f-44ce-af86-0d13a5a8984a_6.jpg,Mas Kemas,0,6
4e7153a7-a7bf-4d4e-9ffd-a6ef2c84e1c3_3.jpg,Mas Kemas,0,2
5c030af6-5f52-4ef0-99c7-309e9d753f52_9.jpg,Mas Kemas,0,0
5c030af6-5f52-4ef0-99c7-309e9d753f52_10.jpg,Mas Kemas,0,0
00e1b1b4-a9b8-42ed-9dad-64c2c78e6ad2_0.jpg,Mas Kemas,0,7
4e7153a7-a7bf-4d4e-9ffd-a6ef2c84e1c3_1.jpg,Mas Kemas,0,0
0081150e-fdec-4c17-9c6c-6ea119526a2a_15.jpg,Mas Kemas,0,7
0081150e-fdec-4c17-9c6c-6ea119526a2a_13.jpg,Mas Kemas,0,0
484e3d49-749d-4bec-9353-19d95f420367_4.jpg,Mas Kemas,0,0
484e3d49-749d-4bec-9353-19d95f420367_8.jpg,Mas Kemas,0,0
484e3d49-749d-4bec-9353-19d95f420367_12.jpg,Mas Kemas,0,0
484e3d49-749d-4bec-9353-19d95f420367_13.jpg,Mas Kemas,0,0
484e3d49-749d-4bec-9353-19d95f420367_14.jpg,Mas Kemas,0,0
0081150e-fdec-4c17-9c6c-6ea119526a2a_0.jpg,Mas Kemas,0,1
0081150e-fdec-4c17-9c6c-6ea119526a2a_1.jpg,Mas Kemas,0,5
0081150e-fdec-4c17-9c6c-6ea119526a2a_4.jpg,Mas Kemas,0,0
0081150e-fdec-4c17-9c6c-6ea119526a2a_6.jpg,Mas Kemas,0,4
0081150e-fdec-4c17-9c6c-6ea119526a2a_8.jpg,Mas Kemas,0,0
0081150e-fdec-4c17-9c6c-6ea119526a2a_9.jpg,Mas Kemas,0,8
0081150e-fdec-4c17-9c6c-6ea119526a2a_10.jpg,Mas Kemas,0,8
0081150e-fdec-4c17-9c6c-6ea119526a2a_12.jpg,Mas Kemas,0,0
0081150e-fdec-4c17-9c6c-6ea119526a2a_14.jpg,Mas Kemas,0,0
484e3d49-749d-4bec-9353-19d95f420367_2.jpg,Mas Kemas,0,0
